study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10889188,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/088/ERR10889188/ERR10889188_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/088/ERR10889188/ERR10889188_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889197,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/097/ERR10889197/ERR10889197_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/097/ERR10889197/ERR10889197_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889214,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/014/ERR10889214/ERR10889214_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/014/ERR10889214/ERR10889214_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889221,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/021/ERR10889221/ERR10889221_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/021/ERR10889221/ERR10889221_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889240,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10889240/ERR10889240_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10889240/ERR10889240_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889243,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/043/ERR10889243/ERR10889243_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/043/ERR10889243/ERR10889243_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889252,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10889252/ERR10889252_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/052/ERR10889252/ERR10889252_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889253,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/053/ERR10889253/ERR10889253_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/053/ERR10889253/ERR10889253_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889257,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/057/ERR10889257/ERR10889257_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/057/ERR10889257/ERR10889257_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889262,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10889262/ERR10889262_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10889262/ERR10889262_2.fastq.gz,paired,wgs,illumina
