study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10889056,s3://era-public/fastq/ERR108/056/ERR10889056/ERR10889056_1.fastq.gz,s3://era-public/fastq/ERR108/056/ERR10889056/ERR10889056_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889147,s3://era-public/fastq/ERR108/047/ERR10889147/ERR10889147_1.fastq.gz,s3://era-public/fastq/ERR108/047/ERR10889147/ERR10889147_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889152,s3://era-public/fastq/ERR108/052/ERR10889152/ERR10889152_1.fastq.gz,s3://era-public/fastq/ERR108/052/ERR10889152/ERR10889152_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889180,s3://era-public/fastq/ERR108/080/ERR10889180/ERR10889180_1.fastq.gz,s3://era-public/fastq/ERR108/080/ERR10889180/ERR10889180_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889194,s3://era-public/fastq/ERR108/094/ERR10889194/ERR10889194_1.fastq.gz,s3://era-public/fastq/ERR108/094/ERR10889194/ERR10889194_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889205,s3://era-public/fastq/ERR108/005/ERR10889205/ERR10889205_1.fastq.gz,s3://era-public/fastq/ERR108/005/ERR10889205/ERR10889205_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889208,s3://era-public/fastq/ERR108/008/ERR10889208/ERR10889208_1.fastq.gz,s3://era-public/fastq/ERR108/008/ERR10889208/ERR10889208_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889211,s3://era-public/fastq/ERR108/011/ERR10889211/ERR10889211_1.fastq.gz,s3://era-public/fastq/ERR108/011/ERR10889211/ERR10889211_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889215,s3://era-public/fastq/ERR108/015/ERR10889215/ERR10889215_1.fastq.gz,s3://era-public/fastq/ERR108/015/ERR10889215/ERR10889215_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889219,s3://era-public/fastq/ERR108/019/ERR10889219/ERR10889219_1.fastq.gz,s3://era-public/fastq/ERR108/019/ERR10889219/ERR10889219_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889220,s3://era-public/fastq/ERR108/020/ERR10889220/ERR10889220_1.fastq.gz,s3://era-public/fastq/ERR108/020/ERR10889220/ERR10889220_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889224,s3://era-public/fastq/ERR108/024/ERR10889224/ERR10889224_1.fastq.gz,s3://era-public/fastq/ERR108/024/ERR10889224/ERR10889224_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889232,s3://era-public/fastq/ERR108/032/ERR10889232/ERR10889232_1.fastq.gz,s3://era-public/fastq/ERR108/032/ERR10889232/ERR10889232_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889237,s3://era-public/fastq/ERR108/037/ERR10889237/ERR10889237_1.fastq.gz,s3://era-public/fastq/ERR108/037/ERR10889237/ERR10889237_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889244,s3://era-public/fastq/ERR108/044/ERR10889244/ERR10889244_1.fastq.gz,s3://era-public/fastq/ERR108/044/ERR10889244/ERR10889244_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889246,s3://era-public/fastq/ERR108/046/ERR10889246/ERR10889246_1.fastq.gz,s3://era-public/fastq/ERR108/046/ERR10889246/ERR10889246_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889259,s3://era-public/fastq/ERR108/059/ERR10889259/ERR10889259_1.fastq.gz,s3://era-public/fastq/ERR108/059/ERR10889259/ERR10889259_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889260,s3://era-public/fastq/ERR108/060/ERR10889260/ERR10889260_1.fastq.gz,s3://era-public/fastq/ERR108/060/ERR10889260/ERR10889260_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889265,s3://era-public/fastq/ERR108/065/ERR10889265/ERR10889265_1.fastq.gz,s3://era-public/fastq/ERR108/065/ERR10889265/ERR10889265_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889281,s3://era-public/fastq/ERR108/081/ERR10889281/ERR10889281_1.fastq.gz,s3://era-public/fastq/ERR108/081/ERR10889281/ERR10889281_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889296,s3://era-public/fastq/ERR108/096/ERR10889296/ERR10889296_1.fastq.gz,s3://era-public/fastq/ERR108/096/ERR10889296/ERR10889296_2.fastq.gz,paired,wgs,illumina
